name,descript,eval_link,topic,countries,evaluation_textbased,evaluation_tag,website
"AIDA e.V. (Arco iris do amor, Regenbogen der Liebe) „Hilfe für bedürftige Kinder und Jugendliche in Brasilien“","Ziel des Vereins ist es, armen Menschen in Brasilien, besonders Kindern und Jugendlichen, zu einer besseren Zukunft zu verhelfen. Den Arbeitsschwerpunkt bildet das von AIDA …",https://www.dzi.de/organisation/aida-e-v-arco-iris-do-amor-regenbogen-der-liebe-hilfe-fuer-beduerftige-kinder-und-jugendliche-in-brasilien/,"['Bildung', 'Bildungs- und Kampagnenarbeit', 'Entwicklungszusammenarbeit', 'Gesundheitshilfe', 'Kinder- und Jugendhilfe', 'Religion', 'Völkerverständigung']",['Brasilien'],"AIDA e.V. (Arco iris do amor, Regenbogen der Liebe) „Hilfe für bedürftige Kinder und Jugendliche in Brasilien“, München, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.aida-ev.net
AKO – Aktionskreis Ostafrika e.V.,"Der AKO - Aktionskreis Ostafrika e.V. fördert in Tansania Entwicklungsprojekte vor allem in den Bereichen Gesundheitswesen, Grundversorgung sowie Bildung und Ausbildung. Dazu kooperiert der deutsche …",https://www.dzi.de/organisation/ako-aktionskreis-ostafrika-e-v/,"['Bildung', 'Entwicklungszusammenarbeit', 'Gesundheitshilfe']",['Tansania'],"AKO - Aktionskreis Ostafrika e.V., Traunstein, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.aktionskreis-ostafrika.de
Aktion Canchanabury e.V.,Die Aktion Canchanabury arbeitet in den Bereichen Gesundheit und Bildung und fördert jährlich etwa 20 bis 30 Projekte hauptsächlich in Afrika (vor allem in westafrikanischen …,https://www.dzi.de/organisation/aktion-canchanabury-e-v/,"['Aids', 'Bildung', 'Bildungs- und Kampagnenarbeit', 'Entwicklungszusammenarbeit', 'Gesundheitshilfe', 'Kinderpatenschaft']","['Äthiopien', 'Burkina Faso', 'Burundi', 'Demokratische Republik Kongo', 'Deutschland', 'Ghana', 'Kenia', 'Niger', 'Senegal', 'Simbabwe', 'Sudan', 'Südsudan', 'Togo', 'Uganda']","Der Aktion Canchanabury e.V., Bochum, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.canchanabury.de
Aktion Deutschland Hilft e.V.,"Aktion Deutschland Hilft e.V. ist ein Zusammenschluss deutscher Hilfsorganisationen. Primäre Zielsetzung des Spendenbündnisses ist es, im Falle großer Katastrophen und Notsituationen gemeinsam und schnell Hilfe …",https://www.dzi.de/organisation/aktion-deutschland-hilft-e-v/,['Katastrophenhilfe'],['weltweit'],Das Auskunftsverhalten der Organisation gegenüber dem DZI ist offen. Bei der Durchsicht der vorliegenden Materialien haben sich für das DZI bisher keine kritischen Anhaltspunkte ergeben.,DZI-Einschätzung: neutral,http://www.aktion-deutschland-hilft.de
Aktion Friedensdorf e.V.,"Im Rahmen der Einzelfallhilfe werden Kinder aus Kriegs- und Krisengebieten in Deutschland medizinisch behandelt, die in ihren Heimatländern nicht ausreichend medizinisch versorgt werden können. Die …",https://www.dzi.de/organisation/aktion-friedensdorf-e-v/,"['Bildung', 'Bildungs- und Kampagnenarbeit', 'Einzelfallhilfe', 'Entwicklungszusammenarbeit', 'Gesundheitshilfe', 'Katastrophenhilfe', 'Kinder- und Jugendhilfe', 'Völkerverständigung']","['Afghanistan', 'Angola', 'Armenien', 'Deutschland', 'Gambia', 'Georgien', 'Kambodscha', 'Kirgistan', 'Tadschikistan', 'Usbekistan']","Aktion Friedensdorf e.V., Oberhausen, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.friedensdorf.de
Aktion gegen den Hunger gGmbH,"Aktion gegen den Hunger ist die deutsche Sektion von Action contre la Faim, die 1979 in Frankreich als Reaktion auf die Notlage in Afghanistan gegründet …",https://www.dzi.de/organisation/aktion-gegen-den-hunger-ggmbh/,"['Bildungs- und Kampagnenarbeit', 'Entwicklungszusammenarbeit', 'Gesundheitshilfe', 'Katastrophenhilfe']","['Afghanistan', 'Ägypten', 'Äthiopien', 'Bangladesch', 'Bolivien', 'Burkina Faso', 'Côte d’Ivoire', 'Demokratische Republik Kongo', 'Dschibuti', 'Gambia', 'Georgien', 'Guatemala', 'Guinea', 'Haiti', 'Indien', 'Indonesien', 'Irak', 'Jemen', 'Jordanien', 'Kambodscha', 'Kamerun', 'Kenia', 'Kolumbien', 'Libanon', 'Liberia', 'Madagaskar', 'Mali', 'Mauretanien', 'Mongolei', 'Myanmar', 'Nepal', 'Nicaragua', 'Niger', 'Nigeria', 'Pakistan', 'Palästinensische Gebiete', 'Paraguay', 'Peru', 'Philippinen', 'Senegal', 'Sierra Leone', 'Simbabwe', 'Somalia', 'Spanien', 'Sudan', 'Südsudan', 'Syrien', 'Tansania', 'Tschad', 'Türkei', 'Uganda', 'Ukraine', 'Venezuela', 'Zentralafrikanische Republik']",Das Auskunftsverhalten der Organisation gegenüber dem DZI ist offen. Bei der Durchsicht der vorliegenden Materialien haben sich für das DZI bisher keine kritischen Anhaltspunkte ergeben.,DZI-Einschätzung: neutral,http://www.aktiongegendenhunger.de
Aktion Kindertraum gemeinnützige GmbH,"Nach eigenen Angaben unterstützt Aktion Kindertraum in erster Linie Eltern, Ärzte und Betreuer bei der Erfüllung von Wünschen bedürftiger Kinder. So ermöglicht die Gesellschaft beispielsweise …",https://www.dzi.de/organisation/aktion-kindertraum-gemeinnuetzige-gmbh/,['Kinder- und Jugendhilfe'],[],"Die Geschäftsführerin der GmbH ist nach Kenntnisstand des DZI gleichzeitig alleinige Gesellschafterin. Eine Trennung der Leitungs- und Aufsichtsfunktion ist somit nicht gegeben. Die Rückfrage des DZI, ob es möglicherweise neben der Gesellschafterversammlung ein anderes Aufsichtsorgan gibt, dass die Tätigkeit der Geschäftsführung überwacht, wurde von der Organisation nicht beantwortet. ",DZI-Einschätzung nicht möglich,http://www.aktion-kindertraum.de
Aktion Kinderträume – Verein der Deutschen Fleischwirtschaft e.V.,Aktion Kinderträume – Verein der Deutschen Fleischwirtschaft e.V. leistet Einzelfallhilfe durch die Unterstützung sozial benachteiligter Kinder und Jugendlicher sowie von deren Familien insbesondere durch Geld- …,https://www.dzi.de/organisation/aktion-kindertraeume-verein-der-deutschen-fleischwirtschaft-e-v/,"['Behindertenhilfe', 'Einzelfallhilfe', 'Familienfürsorge', 'Gesundheitshilfe', 'Kinder- und Jugendhilfe']",['Deutschland'],"Aktion Kinderträume – Verein der Deutschen Fleischwirtschaft e.V., Rheda-Wiedenbrück, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.aktion-kindertraeume.de
Aktion Kleiner Prinz – Internationale Hilfe für Kinder in Not – e.V.,"Die Aktion Kleiner Prinz fördert Projekte und Einrichtungen in mehreren Ländern, beispielsweise ein Programm zur Stärkung der sozialen Fähigkeiten von Kindern und Jugendlichen in Bosnien-Herzegowina, …",https://www.dzi.de/organisation/aktion-kleiner-prinz-internationale-hilfe-fuer-kinder-in-not-e-v/,"['Behindertenhilfe', 'Bildung', 'Familienfürsorge', 'Flüchtlingsfürsorge', 'Gesundheitshilfe', 'Katastrophenhilfe', 'Kinder- und Jugendhilfe', 'Ukraine-Nothilfe']","['Bosnien und Herzegowina', 'Demokratische Republik Kongo', 'Deutschland', 'Griechenland', 'Haiti', 'Indien', 'Indonesien', 'Irak', 'Jemen', 'Mosambik', 'Nepal', 'Nordmazedonien', 'Philippinen', 'Rumänien', 'Südsudan', 'Syrien', 'Uganda', 'Ukraine']","Der Aktion Kleiner Prinz – Internationale Hilfe für Kinder in Not – e.V., Warendorf, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.aktion-kleiner-prinz.de
Aktion Lichtblicke e.V.,"Die Aktion Lichtblicke e.V. wird gemeinsam getragen von 45 lokalen Rundfunkanstalten in Nordrhein-Westfalen, deren Rahmenprogramm „radio NRW“, den ebenfalls in diesem Bundesland ansässigen Caritasverbänden der …",https://www.dzi.de/organisation/aktion-lichtblicke-e-v/,"['Einzelfallhilfe', 'Kinder- und Jugendhilfe', 'Ukraine-Nothilfe']",['Deutschland'],"Aktion Lichtblicke e.V., Oberhausen, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.lichtblicke.de
Aktion Mensch e.V.,Aus den Erlösen der „Aktion Mensch Lotterie“ fördert der Aktion Mensch e.V. soziale Projekte und Aktionen gemeinnütziger Organisationen im Bereich der Behindertenhilfe sowie der Kinder- …,https://www.dzi.de/organisation/aktion-mensch-e-v/,"['Behindertenhilfe', 'Bildungs- und Kampagnenarbeit', 'Kinder- und Jugendhilfe']",['Deutschland'],Die Organisation finanziert ihre Arbeit in erster Linie über Umsatzerlöse der Lotterie.,DZI-Einschätzung: neutral,http://www.aktion-mensch.de
Aktion Pink Deutschland e.V.,,https://www.dzi.de/organisation/aktion-pink-deutschland-e-v/,[],[],"Die DZI Spendenberatung hat sich mehrfach bemüht, zuletzt im Dezember 2016, von den Verantwortlichen der Organisation im Sinne der Transparenz gegenüber dem Spender konkrete aussagekräftige Informationen über ihre Arbeit zu erhalten. Dem Auskunftsersuchen hat die Organisation aber nicht entsprochen. Auch ihrer Internetseite waren die erbetenen Informationen nicht vollständig zu entnehmen.",DZI-Einschätzung nicht möglich,http://www.aktionpink.de
Aktion Sühnezeichen Friedensdienste e.V.,"Die Haupttätigkeitsbereiche der Aktion Sühnezeichen Friedensdienste sind der lang-, mittel- und kurzfristige Freiwilligendienst sowie die Inlandsarbeit. Beim langfristigen Freiwilligendienst engagieren sich junge Menschen für 12 …",https://www.dzi.de/organisation/aktion-suehnezeichen-friedensdienste-e-v/,"['Bildung', 'Bildungs- und Kampagnenarbeit', 'Religion', 'Völkerverständigung']","['Belgien', 'Deutschland', 'Frankreich', 'Griechenland', 'Großbritannien', 'Israel', 'Niederlande', 'Norwegen', 'Polen', 'Russische Föderation', 'Tschechische Republik', 'Ukraine', 'USA']","Aktion Sühnezeichen Friedensdienste e.V., Berlin, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.asf-ev.de
Aktionen – Stiftung für Menschen in Not,Aktionen – Stiftung für Menschen in Not unterstützt bedürftige Menschen im In- und Ausland und leistet Einzelfallhilfen in Deutschland in besonderen Notlagen. Zudem fördert sie …,https://www.dzi.de/organisation/aktionen-stiftung-fuer-menschen-in-not/,"['Behindertenhilfe', 'Einzelfallhilfe', 'Entwicklungszusammenarbeit', 'Gesundheitshilfe']","['Bosnien und Herzegowina', 'Deutschland', 'Griechenland', 'Peru', 'Rumänien', 'Ukraine']","Aktionen – Stiftung für Menschen in Not, Castrop-Rauxel, wurde das DZI Spenden-Siegel zuerkannt. Die Stiftung ist förderungswürdig.",,http://www.stiftung-min.de
Aktionsgemeinschaft Solidarische Welt e.V.,"Die Aktionsgemeinschaft Solidarische Welt e.V. fördert kleine Selbsthilfegruppen, die sich für die Stärkung von Frauen, den Schutz der Umwelt und die Wahrung der Menschenrechte einsetzen …",https://www.dzi.de/organisation/aktionsgemeinschaft-solidarische-welt-e-v/,"['Bildung', 'Bildungs- und Kampagnenarbeit', 'Entwicklungszusammenarbeit', 'Frauenförderung', 'Menschenrechte', 'Umwelt- und Naturschutz', 'Völkerverständigung']","['Brasilien', 'Burkina Faso', 'Deutschland', 'Indien', 'Senegal', 'Simbabwe', 'Togo', 'Westsahara']","Der Aktionsgemeinschaft Solidarische Welt e.V., Berlin, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.aswnet.de
Aktionsgruppe Kinder in Not e.V.,"Die Arbeitsschwerpunkte der Aktionsgruppe Kinder in Not e.V. liegen in den Bereichen Gesundheit, Bildung und Verbesserung der Lebensumstände von Kindern und Jugendlichen. Die Organisation unterstützt …",https://www.dzi.de/organisation/aktionsgruppe-kinder-in-not-e-v/,"['Behindertenhilfe', 'Bildung', 'Entwicklungszusammenarbeit', 'Gesundheitshilfe', 'Kinder- und Jugendhilfe', 'Kinderpatenschaft']","['Brasilien', 'Indien', 'Philippinen']","Der Aktionsgruppe Kinder in Not e.V., Neustadt (Wied), wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.kinder-in-not.de
Aktionskreis Pater Beda für Entwicklungsarbeit e.V.,"Der Aktionskreis Pater Beda für Entwicklungsarbeit e.V. unterstützt auf der Basis der Hilfe zur Selbsthilfe soziale, pastorale und humanitäre Projekte in Brasilien, überwiegend im Nordosten …",https://www.dzi.de/organisation/aktionskreis-pater-beda-fuer-entwicklungsarbeit-e-v/,"['Bildung', 'Bildungs- und Kampagnenarbeit', 'Entwicklungszusammenarbeit', 'Frauenförderung', 'Gesundheitshilfe', 'Religion', 'Völkerverständigung']","['Brasilien', 'Deutschland', 'Haiti']","Dem Aktionskreis Pater Beda für Entwicklungsarbeit e.V., Bad Bentheim, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.pater-beda.de
Aktive Bürgerhilfe UG,,https://www.dzi.de/organisation/aktive-buergerhilfe-ug/,[],[],"Die DZI Spendenberatung hat sich mehrfach bemüht, zuletzt im Oktober 2023, von den Verantwortlichen der Organisation im Sinne der Transparenz gegenüber den Spendenden konkrete aussagekräftige Informationen über ihre Arbeit zu erhalten. Dem Auskunftsersuchen hat die Organisation aber nicht entsprochen. Auch ihrer Internetseite waren die erbetenen Informationen nicht vollständig zu entnehmen.",DZI-Einschätzung nicht möglich,http://www.aktive-buergerhilfe.de
Albert Schweitzer Stiftung für unsere Mitwelt,Die Albert Schweitzer Stiftung für unsere Mitwelt setzt sich gegen die Nutzung von Tieren und Tierprodukten als Nahrungsmittel ein. Hierfür führt die Organisation unter anderem …,https://www.dzi.de/organisation/albert-schweitzer-stiftung-fuer-unsere-mitwelt/,"['Bildungs- und Kampagnenarbeit', 'Tierschutz']",['Deutschland'],Das Auskunftsverhalten der Organisation gegenüber dem DZI ist offen. Bei der Durchsicht der vorliegenden Materialien haben sich für das DZI bisher keine kritischen Anhaltspunkte ergeben.,DZI-Einschätzung: neutral,http://www.albert-schweitzer-stiftung.de
Albert-Schweitzer-Familienwerk Sachsen-Anhalt e.V.,"Der Verein unterhält neben dem dezentral geführten Kinderdorf Zerbst mit Kinderdorfhäusern in mehreren Orten der näheren Umgebung eine Reihe weiterer Einrichtungen der Kinder-, Jugend- und …",https://www.dzi.de/organisation/albert-schweitzer-familienwerk-sachsen-anhalt-e-v/,"['Behindertenhilfe', 'Familienfürsorge', 'Kinder- und Jugendhilfe']",['Deutschland'],Der Verein finanziert seine Arbeit zum weit überwiegenden Anteil aus Pflegesatzerlösen. Das Auskunftsverhalten gegenüber dem DZI ist offen. Bei der Durchsicht der vorliegenden Materialien haben sich für das DZI bisher keine kritischen Anhaltspunkte ergeben.,DZI-Einschätzung: neutral,http://www.albert-schweitzer-sachsen-anhalt.de
Albert-Schweitzer-Kinderdörfer und Familienwerke e.V. Bundesverband,"Der Bundeverband der Albert-Schweitzer-Kinderdörfer und Familienwerke fungiert als Dachverband, Interessenvertretung und Förderkörperschaft für die an ihn angeschlossenen Vereine. Deutschlandweit bieten zehn Vereine soziale Hilfen in …",https://www.dzi.de/organisation/albert-schweitzer-kinderdoerfer-und-familienwerke-e-v-bundesverband/,"['Altenhilfe', 'Behindertenhilfe', 'Familienfürsorge', 'Kinder- und Jugendhilfe']","['Deutschland', 'Philippinen', 'Polen']",Das Auskunftsverhalten der Organisation gegenüber dem DZI ist offen. Bei der Durchsicht der vorliegenden Materialien haben sich für das DZI bisher keine kritischen Anhaltspunkte ergeben.,DZI-Einschätzung: neutral,http://www.albert-schweitzer-verband.de
all4africa e.V.,,https://www.dzi.de/organisation/all4africa-e-v/,[],[],Laut Vereinsregistereintrag des Amtsgerichts Schweinfurt vom 08.01.2020 ist der Verein in Folge des Wegfalls sämtlicher Mitglieder von Amts wegen erloschen.,DZI-Einschätzung: neutral,http://www.all4africa.de
Allgemeiner Blinden- und Sehbehindertenverein Berlin gegr. 1874 e.V. – älteste Selbsthilfeorganisation der Blinden und Sehbehinderten,Arbeitsschwerpunkt des Vereins ist die Beratung blinder und sehbehinderter Menschen sowie ihrer Angehörigen. In diesem Zusammenhang unterstützt der Allgemeine Blinden- und Sehbehindertenverein Berlin (ABSV) die …,https://www.dzi.de/organisation/allgemeiner-blinden-und-sehbehindertenverein-berlin-gegr-1874-e-v-aelteste-selbsthilfeorganisation-der-blinden-und-sehbehinderten/,"['Behindertenhilfe', 'Bildung']",['Deutschland'],Bei der Durchsicht der vorliegenden Materialien haben sich für das DZI bisher keine kritischen Anhaltspunkte ergeben.,DZI-Einschätzung: neutral,http://www.absv.de
Alzheimer Gesellschaft Berlin e.V. Selbsthilfe Demenz,Einen Schwerpunkt der Vereinsaktivitäten bildet die Beratung der Angehörigen von Demenzkranken. Im Rahmen des Projekts „Selbsthilfeinitiative zur Unterstützung von Angehörigen Demenzkranker“ werden Anfragen Rat suchender …,https://www.dzi.de/organisation/alzheimer-gesellschaft-berlin-e-v-selbsthilfe-demenz/,"['Altenhilfe', 'Behindertenhilfe', 'Bildungs- und Kampagnenarbeit', 'Gesundheitshilfe']",['Deutschland'],"Der Alzheimer-Gesellschaft Berlin e.V., Berlin, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.alzheimer-berlin.de
Andheri – Kinder- und Leprahilfe e.V. Dülmen,Die Andheri – Kinder- und Leprahilfe e.V. Dülmen unterstützt die katholische Schwesterngemeinschaft „Society of the Helpers of Mary“ mit Sitz im Stadtteil Andheri von Mumbai. …,https://www.dzi.de/organisation/andheri-kinder-und-leprahilfe-e-v-duelmen/,"['Aids', 'Bildung', 'Entwicklungszusammenarbeit', 'Frauenförderung', 'Gesundheitshilfe', 'Kinder- und Jugendhilfe']","['Äthiopien', 'Indien', 'Kenia', 'Tansania']","Der Andheri - Kinder- und Leprahilfe e.V. Dülmen, Dülmen, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.andheri.de/duelmen
Andheri Hilfe e.V.,Die Andheri Hilfe e.V. fördert eine Vielzahl von Projekten in Indien und Bangladesch. Dazu arbeitet der Verein unter anderem eng mit dem ortsansässigen Andheri-Trust Indien …,https://www.dzi.de/organisation/andheri-hilfe-e-v/,"['Behindertenhilfe', 'Bildung', 'Bildungs- und Kampagnenarbeit', 'Entwicklungszusammenarbeit', 'Frauenförderung', 'Gesundheitshilfe', 'Kinder- und Jugendhilfe', 'Menschenrechte', 'Völkerverständigung']","['Bangladesch', 'Deutschland', 'Indien']","Der Andheri Hilfe e.V., Bonn, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.andheri-hilfe.de
Arbeitskreis EINE WELT St. Georg Köln-Weiß e.V.,Der Arbeitskreis EINE WELT St. Georg Köln-Weiß e.V. ist aus einer Initiative junger Frauen und Männer der katholischen Pfarrgemeinde St. Georg in Köln-Weiß hervorgegangen. Er …,https://www.dzi.de/organisation/arbeitskreis-eine-welt-st-georg-koeln-weiss-e-v/,"['Bildung', 'Bildungs- und Kampagnenarbeit', 'Entwicklungszusammenarbeit', 'Kinder- und Jugendhilfe']","['Deutschland', 'Haiti']","Dem Arbeitskreis EINE WELT St. Georg Köln-Weiß e.V., Köln, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.akeinewelt.org
arche noVa – Initiative für Menschen in Not e.V.,"arche noVa – Initiative für Menschen in Not e.V. leistet humanitäre Not- und Wiederaufbauhilfe, Katastrophenvorsorge und engagiert sich in langfristigen Projekten der Entwicklungszusammenarbeit. Nach dem …",https://www.dzi.de/organisation/arche-nova-initiative-fuer-menschen-in-not-e-v/,"['Bildung', 'Bildungs- und Kampagnenarbeit', 'Entwicklungszusammenarbeit', 'Flüchtlingsfürsorge', 'Katastrophenhilfe', 'Menschenrechte', 'Ukraine-Nothilfe', 'Völkerverständigung']","['Äthiopien', 'Deutschland', 'Haiti', 'Irak', 'Jemen', 'Kenia', 'Kongo', 'Libanon', 'Mali', 'Myanmar', 'Pakistan', 'Philippinen', 'Somalia', 'Syrien', 'Uganda', 'Ukraine']","arche noVa – Initiative für Menschen in Not e.V., Dresden, wurde das DZI Spenden-Siegel zuerkannt. Der Verein ist förderungswürdig.",,http://www.arche-nova.org
